rentabilidades,model_values,fast_model_values,present_MC_values
1.1882289315452887,0.0368630429691989,0.03154876023748923,0.2046436803871827
1.157230103118938,0.06841390397869361,0.03918031703832597,0.18446766065997697
1.2517323862902507,0.11226013680914627,0.057668041002523276,0.2500793893335633
1.2970510267166635,0.15556783341923017,0.07936483433297578,0.2882858843460905
1.3262056941136735,0.19640581137945218,0.10445962558408041,0.31584153022734723
1.4804785731205876,0.2700094258998413,0.15360685174022196,0.4503219081262189
1.3817461920531289,0.2864357692733296,0.17532551734417542,0.365695436943232
1.33722659492024,0.3017598635544787,0.1981884061742181,0.3261441835310509
1.5114755451283317,0.3798604821546269,0.26780707668339887,0.48373774244887896
1.3744610092803282,0.36624252818102965,0.27445075707610594,0.3625023463168716
1.4163422639358767,0.3988773515851579,0.31569212147891523,0.3999780971983273
1.360852539659508,0.39647656961633343,0.32952106544356763,0.34609074183631433
1.1862876478452857,0.3401512825785751,0.2930614239282414,0.19489336568385016
1.1468625320519135,0.3189490824926118,0.2836253407259801,0.15654441282047046
1.158300728371765,0.3120158392406171,0.28529403979758255,0.16813742872864762
1.3694490735857665,0.37113000131313867,0.3483359100469255,0.3612485125895589
1.4388076729818904,0.3959439766421686,0.3796663719209606,0.43114787706639973
1.3525063719199746,0.37108654817629066,0.3621831932497292,0.3462959716559234
1.4155474570590871,0.39078377232488626,0.38677414676912714,0.4145637872538174
1.477457755367766,0.4137547051211466,0.41440496485825884,0.47757434028718815
