rentabilidades,model_values,fast_model_values,present_MC_values
1.1050355033622228,0.026530546852506227,0.02667021205396278,0.15000360781979505
0.9295289386570594,0.02726212484637654,0.022849014205416077,0.0570050701467181
0.9232937309760914,0.0255453153628535,0.02174330771795278,0.053585025303454686
0.9226427352427063,0.020842374102824628,0.019580670425871718,0.052145044161699974
0.9777832562623392,0.0181434772063044,0.019278666940818836,0.07027703127828934
1.068208524354994,0.01884680789697969,0.02187268391729566,0.12002821988638304
1.1086382697745576,0.018760617223125445,0.02406140536134862,0.14586385879306624
1.1062722537883638,0.01705351111195648,0.025169038829656952,0.14073921791481062
1.1488425183804432,0.01762582538360943,0.028637663472703242,0.16828931430252667
1.2276171567040606,0.023397441875499636,0.03574257976744572,0.2306364244956762
1.2846255985855883,0.03318874019459368,0.04442216144724035,0.27385497954340055
1.2303343653325918,0.036253721532024906,0.04699009454774972,0.22759502571587817
0.947517678610843,0.017405332073396253,0.02859309006925004,0.041671105135175204
0.8243623856728762,0.001764087902427759,0.011484911505206304,0.007719335187689411
0.7581755353686438,0.00012868600757431792,-0.002335781673702062,0.0014752944689073017
0.9597219186527053,2.0167410176877583e-05,-0.008649620544223772,0.03576300035960043
1.1291451730094733,3.945138110592202e-06,-0.008158988052188084,0.13939234931466707
1.1374716431894643,1.7208786333793532e-06,-0.005543867663009474,0.14395804853569283
1.171703643646222,1.6579352629315444e-06,-0.002114434029837769,0.17082891207505632
1.1866564258078827,1.6923198338663543e-06,-0.00018443792833967686,0.1871313258560291
