rentabilidades,model_values,fast_model_values,present_MC_values
1.1811424566758644,0.03582175878554203,0.031144341840371088,0.19720262516820683
1.1789340119492715,0.07059697491869377,0.04055748340535007,0.20098431074294398
1.106808273497217,0.0890322096940273,0.04556032958206908,0.148540113303637
0.9697300580668049,0.08106089240369105,0.040026310976641374,0.07091120159298762
0.9560418605863452,0.07706916240834934,0.03884039583695219,0.06165474345616392
0.9447257710657677,0.06938785462710818,0.03730914876430315,0.05524388449819326
0.8252963276617551,0.04719134368484403,0.02777212195483026,0.017101655965100836
0.8357086772904494,0.03140199557631168,0.022325950442730683,0.01992885253553967
1.0798409318483495,0.03446158433444005,0.028426175415582344,0.1210268926233192
0.901103331822291,0.015014055925868432,0.017562926777344175,0.03292956992040721
1.0126172898527086,0.007768778370454217,0.014436163076074055,0.07672557361815656
1.3786474919822795,0.015138589181918285,0.025299405777014703,0.3681630673148001
1.51198795437493,0.0265913836091861,0.03825246141448571,0.49153095761692805
1.683272892561927,0.04884593980517598,0.06129665120519676,0.6624402704210925
1.7601948134008836,0.0728511878306255,0.08788855769074543,0.7474065329141456
1.8109939328255615,0.1021501322030158,0.11732619307709986,0.7954265581498161
1.8851039760438593,0.14192759994638224,0.1545051866933354,0.8725881967244935
1.7357835103388588,0.15490728178469745,0.16349924522373194,0.7278314663892723
1.7615975766011265,0.182323553058518,0.188101249921338,0.7612785392252042
1.7446806954788188,0.2020971093898579,0.20604229672337626,0.7441395540803357
