,simple_date,equal,max_prof,max_sharp,min_vol
0,2020-05-30,1.0132199749774278,1.0127778784546313,1.0086360290583083,1.0080492177786748
1,2020-05-31,1.0346155871028133,1.0127778784546313,1.010435352987201,1.0122070949929092
2,2020-06-01,0.9950340333734319,1.0017850842045108,1.0041535443660405,1.0039100379777666
3,2020-06-02,1.006779257241157,1.0189577605745785,1.0139812301829854,1.012086846600359
4,2020-06-03,1.0346546117787407,1.0722517539802439,1.047343081252271,1.0399577768148285
5,2020-06-04,1.0582307459386266,1.0722580305276,1.0494807427975803,1.0447240057103688
6,2020-06-05,1.0661276329170801,1.0932470254867284,1.056871578188944,1.0488495737679864
7,2020-06-06,1.0205736565493453,1.0724458701638893,1.0497735492396665,1.0413334305685906
8,2020-06-07,1.075571127837142,1.0724458701638893,1.0545526688351758,1.0522946060050813
9,2020-06-08,1.096998930310793,1.109366399243746,1.0800194005564536,1.0745657026732416
10,2020-06-09,1.117140043410704,1.1239061820878011,1.09148162060449,1.0861156117719417
11,2020-06-10,1.0816742746815662,1.0876183927156244,1.0783144553523412,1.076412074185598
12,2020-06-11,1.0281864168812656,1.001491448621519,1.0264454189441168,1.0328623892017075
13,2020-06-12,1.0518274202294196,1.0292459067964095,1.046359511319767,1.0511170167180928
14,2020-06-13,1.0686397234845832,1.0877212742718934,1.078331655619425,1.0748298406496433
15,2020-06-14,1.08187100986675,1.0877212742718934,1.079459572290054,1.077429278396907
16,2020-06-15,1.0523974624656043,1.0295075471714985,1.04718866438251,1.0518655997197168
17,2020-06-16,1.0724429373737128,1.052400745971983,1.065972889987124,1.0697168046721757
18,2020-06-17,1.0933434388036893,1.069368150850554,1.0879802178457534,1.0928899887439232
19,2020-06-18,1.0811961754505492,1.0523559654516006,1.0775618127686677,1.0839914004918612
20,2020-06-19,1.070992056578832,1.0406244071948012,1.0707849501196407,1.0781570247878336
21,2020-06-20,1.055387671490091,1.0491964087912735,1.0752683706226172,1.079597169507843
22,2020-06-21,1.088410680542176,1.0491964087912735,1.0781107065406172,1.0861955189896573
23,2020-06-22,1.0623540074569966,1.0294560994836734,1.061801165997545,1.0698274318798648
24,2020-06-23,1.0695005061708358,1.0389714406518589,1.0787258914110174,1.0877058837012996
25,2020-06-24,1.0794216653396593,1.046239636397538,1.0928004162120568,1.1031418484629523
26,2020-06-25,1.046933619452718,1.0120418846750283,1.064027848496587,1.0754439502917499
27,2020-06-26,1.076230825449431,1.0577510063741415,1.0966861573630486,1.104273942650847
28,2020-06-27,1.05491409510255,1.0369903893014072,1.079671991711812,1.087813691093767
29,2020-06-28,1.064487215375861,1.0369903893014072,1.0804997092561064,1.0897419257788779
30,2020-06-29,1.017944222393107,0.9675129222612816,1.0303430351051328,1.0450538888632268
31,2020-06-30,1.0374358957152152,0.9894094057546542,1.053533055926602,1.0681981445478015
32,2020-07-01,1.0502282456731409,1.010358529414634,1.0695357715255032,1.082525450785494
33,2020-07-02,1.0452486619167287,1.0100679024335053,1.0681253046899113,1.0804555854620592
34,2020-07-03,1.0467373218747758,0.9946697101441454,1.0631180336398907,1.0788906058961383
35,2020-07-04,1.0460089378113753,0.9946697101441454,1.0630555367916603,1.078743960279047
36,2020-07-05,1.0398039732136495,0.9946697101441454,1.0625227986744377,1.0774940143115737
37,2020-07-06,1.0461498325840242,1.00922778697985,1.0678735491756166,1.080445538340006
38,2020-07-07,1.0813906164514577,1.0596435462059743,1.1096338733371804,1.1191914208776845
39,2020-07-08,1.0530411430349988,1.0195569609447215,1.0844788821514606,1.0976749790113849
40,2020-07-09,1.0658895977181488,1.0345263901038515,1.1039860264333996,1.1177042667832575
41,2020-07-10,1.0487241002087857,1.007466687933932,1.089445029658935,1.1062915720750548
42,2020-07-11,1.0581162875434447,1.0264303375213668,1.098050783480444,1.1121222080396633
43,2020-07-12,1.0737880286304258,1.0264303375213668,1.0994246994764394,1.1153396099244994
44,2020-07-13,1.0757523300634093,1.051250620431847,1.1168593593326082,1.1291711967316984
45,2020-07-14,1.081158851845527,1.0677679190613303,1.124130412689123,1.133759255668989
46,2020-07-15,1.1009040622504918,1.0938109920802133,1.1473671715964207,1.1558725548885294
47,2020-07-16,1.1181341192309495,1.108428631808532,1.1598834502587514,1.1683088209945527
48,2020-07-17,1.1057346909859296,1.0969851961616772,1.146895512097716,1.1549838029660346
49,2020-07-18,1.101357692641555,1.083811964588248,1.1428036712290197,1.1532573073872023
50,2020-07-19,1.1038283878031263,1.083811964588248,1.143020250210625,1.1537626500219753
51,2020-07-20,1.0950631147996552,1.0806343017716795,1.1363737929909203,1.1459814974564302
52,2020-07-21,1.0987481560428092,1.0826167773606663,1.147532588203994,1.1587983738651269
53,2020-07-22,1.1033078907155933,1.0838526328746092,1.1421324366905468,1.1526561812269103
54,2020-07-23,1.0947005212941634,1.0537931506256686,1.1266234470720466,1.1417379334612767
55,2020-07-24,1.0733042752754973,1.0378572419359566,1.0951831736611195,1.1071610507664154
56,2020-07-25,1.0897830625687843,1.0674282569728766,1.1223696501267386,1.132601065187458
57,2020-07-26,1.082566143126876,1.0674282569728766,1.121741734019884,1.1311359974001414
58,2020-07-27,1.0650841912581397,1.0300481778991426,1.0892186645243565,1.101469483540122
59,2020-07-28,1.0779429744265736,1.0383213570824823,1.105307524477818,1.1193044844445565
60,2020-07-29,1.0644235632694543,1.0309520032396415,1.0927433985163888,1.105257208495887
61,2020-07-30,1.0814441700452744,1.0361748013620649,1.1055800707517138,1.120547305990257
62,2020-07-31,1.0727731623508479,1.021169224933074,1.1021727286832756,1.1197467929447917
