rentabilidades,model_values,fast_model_values,present_MC_values
1.261198917002107,0.04672029417399518,0.03679019076529049,0.2588571555123306
1.4380838009224006,0.12491706064179782,0.06551447798407335,0.4119523894056153
1.646762192194423,0.24183029945834716,0.11948303620569396,0.5957155718359516
1.808773070902928,0.3851228484885424,0.20326535900743609,0.7555807986117808
1.8829192153251588,0.5245235644155466,0.3026047458006155,0.8286616643695226
1.9660100127659044,0.6754881215269806,0.42334199992350974,0.9150506409290624
1.787409065161367,0.7027350587699543,0.4738966413921793,0.7404074744114273
1.8630068604711947,0.8237641779182282,0.5986959808716582,0.8150696037165227
1.8854632576303154,0.9193939691897893,0.7185004286896404,0.8448707101393256
1.9669905838429924,1.043845730099937,0.8738445114817497,0.9226259768268643
2.358200404712379,1.3829334098260864,1.2201065262462298,1.3036110664032603
2.5547998767676163,1.6501161835806157,1.5207949051667529,1.5073348142286744
1.844418606737821,1.2117808355827915,1.1581512374867495,0.8195944490328806
1.9724556349379323,1.3456223129296232,1.3060967013986065,0.9426689394210215
2.0478681280562023,1.4584353813020192,1.4131319021235869,1.0250271256638783
2.5124472138510106,1.8915080051593218,1.8150025239863221,1.4953391199442434
3.3046139929889162,2.6862582976777354,2.5542263190648136,2.280677649248455
3.52674440643818,3.095792593327465,2.889784981246875,2.5098017998475495
3.435952982471137,3.215512310823747,2.922230250883183,2.4228145859121577
3.52308510181193,3.505762632271479,3.106237913803932,2.522495668200392
