x,y,sharpe,x_aapl,x_gs,x_axp,y_aapl,y_gs,y_axp
0.31886199932140147,0.445943556047919,1.3985471990923066,0.28493999322279007,0.3120028730593877,0.5882877164180692,0.3727115807048367,0.4889147643283691,0.3654765957050081
0.24715528933811065,0.4844815332750574,1.9602312965767943,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.2749298021890352,0.47903532927886117,1.742391423064015,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.3176509362261757,0.48548804263138656,1.5283696261033732,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.3799500559842338,0.47260448236622454,1.2438594886951022,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.4639097763492517,0.421838835830707,0.9093122355609256,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.2871646181915475,0.4894136950840129,1.704296644085725,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.24865035840918767,0.4853936745815697,1.952113311587466,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.23323282508053902,0.4669496331384513,2.0020751066116276,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.3389769532178011,0.4851534395994752,1.4312283917654782,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.2311124832922971,0.4728313512853617,2.0458927382444902,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.35480929043648185,0.4772993039742499,1.3452277514691975,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.3352872955563043,0.47941518765888835,1.4298638630594365,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.3171712182067186,0.4910317790925145,1.5481599555873982,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.24547665857103704,0.41181256245890374,1.6776037479739923,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.22492518109791274,0.46627345367059236,2.073015797495869,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.22956606101483076,0.46964955792622165,2.0458144198234978,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.40508464645045916,0.4447282520566418,1.0978649918074121,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.24095333962124765,0.47968676818591227,1.9907869670531544,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.2907505917812999,0.487546759423499,1.6768556047866188,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.28243179108747246,0.48371231064565867,1.712669486615433,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.22256751819658854,0.4563917635779964,2.0505766846664324,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.2735035639473106,0.46025713811364954,1.6828195269964243,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.29863234142200873,0.4548952691661705,1.5232619045883604,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.25326810913220504,0.4786590798271029,1.8899303250897828,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.2939587274654048,0.4937769482945662,1.679749237425439,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.23045203409088413,0.4683885349759056,2.0324773301466528,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.37655864895517666,0.43985588237457085,1.1680939571963695,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.3018635360622132,0.4837201799164865,1.6024465433174848,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.34846934303830707,0.4752464807039285,1.3638114519924494,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.27926397357450666,0.4926811142457561,1.7642129342341055,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.4456937507771884,0.42429466458067355,0.9519870176344188,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.3625443834794406,0.47355022833684646,1.3061855318017934,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.22979636426857317,0.472985145784554,2.0582795001567358,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.29579732474480824,0.46332938302626636,1.5663744877543846,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
0.4015820025449321,0.43026999793370213,1.0714374528912316,0.3169446,0.3169446,0.3169446,0.4595444,0.4595444,0.4595444
