rentabilidades,model_values,fast_model_values,present_MC_values
1.063817384761803,0.02252929437337839,0.024070886732397236,0.1263573025392872
1.1330078290456558,0.051070884281234324,0.032857897201377315,0.1639869088237845
1.149493164945761,0.07731760475787651,0.042349532675077385,0.17787231853945867
1.2624080751754714,0.11774271790381184,0.06193775887663424,0.25691350395864143
1.3131302906083935,0.1568923556932799,0.08461126358036446,0.3043874781682338
1.2724037267459485,0.17848882370774447,0.10161325381730277,0.269756759956879
1.1705240345359025,0.17771478927325415,0.10784512984490245,0.1891345253406601
1.1819581909184567,0.18985040913020673,0.12389586712563162,0.19176763872456148
1.2479115630005164,0.21394815722311278,0.14941616517266962,0.24473560262705532
1.2191857213099615,0.2176698655516404,0.16197746012209102,0.2195198996566153
1.3441550531774324,0.2566513135793629,0.2028390749146716,0.33113793928528207
1.3365881785865428,0.26971638904680045,0.2241863980842917,0.3265025030692812
0.9079902057252666,0.16936195500222037,0.1457800449083036,0.02597033239200471
0.7597700839273368,0.12065141456981958,0.10652623334336207,0.0023723940619643164
0.6187323438111431,0.0742584086440742,0.06799134418368746,3.4609687493460686e-05
0.8489236677505009,0.08635984428078264,0.08126553295501687,0.007057147321101029
1.0145770110357983,0.09440184334207327,0.0899095994574926,0.05762892417027286
1.054679650629825,0.09114431486838097,0.08729571408973444,0.0795995823162048
1.06048460735671,0.08532538740152684,0.08113100575632029,0.07905793166807108
1.0983600339673985,0.08396654513005045,0.0787364805181034,0.10701525420125008
