rentabilidades,model_values,fast_model_values,present_MC_values
1.1289719737796913,0.029398561524911482,0.028576495439778107,0.16715106877053967
1.3465095187396552,0.08709019262842407,0.05172112674709981,0.3322815154122342
1.4527473435647904,0.15583407868930516,0.08444380830409222,0.42428962693468636
1.9079117989065126,0.32309527883456957,0.18273564147733695,0.8523221863990642
2.244318034420391,0.543202047374522,0.3352844503383621,1.1754330950465566
2.6471848652475556,0.8667640585453176,0.5876660539413417,1.560271404900279
2.373005006391766,0.9482306629386854,0.6935931914130424,1.3093865531112954
2.736570573779477,1.3226492335157018,1.0500297498971234,1.6597301619080207
2.9097916879601504,1.6590894120276323,1.4114976323683284,1.8394550290962435
3.029822715042411,1.9901982248668322,1.799639150585589,1.9508070353534361
3.3234900459425742,2.4916506305967046,2.365811094334259,2.2552202734623643
3.6617125783347086,3.1121318883515214,3.0619421689844186,2.5832376054546375
3.5432131893209573,3.3330837325764366,3.343811650747004,2.484258838300046
4.479696024125068,4.726135142727485,4.8077437560648555,3.409787345542804
5.004926395397705,5.882494051743865,5.949337313913462,3.943912397328019
6.659066660984704,8.873514201921523,8.638140242565145,5.581576647240405
7.6186997217130905,11.489583289180494,10.54210207513604,6.557084994549987
7.690371108592511,12.830498190265232,11.092240919025464,6.648012734949934
8.609965713167407,15.773756013200202,12.800274355713531,7.583189597587285
8.292179079764463,16.357929278316572,12.591710262149897,7.288802544737489
