simple_date,AAPL,GS,AXP,cartera
2020-05-30,1.0,1.0,1.0,1.0132199749774278
2020-05-31,1.0,1.0,1.0633493594296606,1.0346155871028133
2020-06-01,1.0061725885785222,0.9887781803542673,0.9466759689818575,0.9950340333734319
2020-06-02,1.0064071094211713,1.0060889694041868,0.9634048595665795,1.006779257241157
2020-06-03,1.0163507931494897,1.0596316425120773,0.9826382287799663,1.0346546117787407
2020-06-04,1.0166322181606686,1.0596316425120773,1.0495387307319637,1.0582307459386266
2020-06-05,1.0078767733684386,1.0810185185185186,1.0608904779144537,1.0661276329170801
2020-06-06,1.024030569010103,1.0596316425120773,0.9288850625766292,1.0205736565493453
2020-06-07,1.024030569010103,1.0596316425120773,1.0790545164839025,1.075571127837142
2020-06-08,1.0365821245086788,1.0966183574879227,1.0926554546794913,1.096998930310793
2020-06-09,1.0427109358632398,1.1111614331723028,1.1318886861698512,1.117140043410704
2020-06-10,1.0605736067116738,1.0740992351046699,1.0424498780565081,1.0816742746815662
2020-06-11,1.0508097222960529,0.9874194847020934,0.981527824366695,1.0281864168812656
2020-06-12,1.059565167088283,1.0151972624798713,1.0134421662262392,1.0518274202294196
2020-06-13,1.0605736067116738,1.0740992351046699,1.0022737542513682,1.0686397234845832
2020-06-14,1.0605736067116738,1.0740992351046699,1.039502496879203,1.08187100986675
2020-06-15,1.0594088198598504,1.0153985507246377,1.012496187294365,1.0523974624656043
2020-06-16,1.072510717602509,1.0381944444444444,1.035100104929674,1.0724429373737128
2020-06-17,1.1009346437315706,1.054700080515298,1.0517294187847248,1.0933434388036893
2020-06-18,1.0994024408929302,1.037590579710145,1.0351996816593447,1.0811961754505492
2020-06-19,1.099840213132542,1.0257648953301128,1.0172758703185711,1.070992056578832
2020-06-20,1.103179789931864,1.0343297101449276,0.9612278432914787,1.055387671490091
2020-06-21,1.103179789931864,1.0343297101449276,1.0514581064287585,1.088410680542176
2020-06-22,1.093555054549548,1.0146437198067633,1.0051275092987135,1.0623540074569966
2020-06-23,1.1221665973527286,1.0236513687600644,0.9901909998480689,1.0695005061708358
2020-06-24,1.1461189927486155,1.0304951690821256,0.9899918463887271,1.0794216653396593
2020-06-25,1.1258876613894266,0.9964774557165862,0.9507586148983671,1.046933619452718
2020-06-26,1.140834456427591,1.042169887278583,0.9743582998303856,1.076230825449431
2020-06-27,1.1299777048852255,1.0214875201288245,0.945070521257631,1.05491409510255
2020-06-28,1.1299777048852255,1.0214875201288245,0.9707994611080765,1.064487215375861
2020-06-29,1.1057814078129837,0.9520430756843801,0.9302458085861485,1.017944222393107
2020-06-30,1.1312660060475106,0.9735809178743962,0.9411992488499544,1.0374358957152152
2020-07-01,1.140709378644845,0.9944645732689211,0.9479704664675801,1.0502282456731409
2020-07-02,1.1385517868924737,0.9942129629629629,0.9365191425554191,1.0452486619167287
2020-07-03,1.146705294855238,0.9785753824476651,0.9485440046742052,1.0467373218747758
2020-07-04,1.146705294855238,0.9785753824476651,0.9465638392917347,1.0460089378113753
2020-07-05,1.146705294855238,0.9785753824476651,0.9297186817601507,1.0398039732136495
2020-07-06,1.1385517868924737,0.9933574879227054,0.9393072909862061,1.0461498325840242
2020-07-07,1.16900822699116,1.0434782608695652,0.9617120551621732,1.0813906164514577
2020-07-08,1.1653809712915217,1.003220611916264,0.9261631626696389,1.0530411430349988
2020-07-09,1.1925228501474354,1.0177636876006442,0.9250678186432584,1.0658895977181488
2020-07-10,1.1967754947608045,0.9904891304347827,0.9018664406299235,1.0487241002087857
2020-07-11,1.1897273617030593,1.0096618357487923,0.9139513901450985,1.0581162875434447
2020-07-12,1.1897273617030593,1.0096618357487923,0.9545609423873014,1.0737880286304258
2020-07-13,1.1997460921010255,1.0344202898550725,0.9283538507224002,1.0757523300634093
2020-07-14,1.1942114002145086,1.0511272141706924,0.931639882801542,1.081158851845527
2020-07-15,1.2139736898883995,1.0769424315619966,0.9443857041994254,1.1009040622504918
2020-07-16,1.2223226318867044,1.091485507246377,0.9694790400765083,1.1181341192309495
2020-07-17,1.2072820285114807,1.0802636876006442,0.959123060190728,1.1057346909859296
2020-07-18,1.215731032735983,1.0668478260869565,0.9529322429190907,1.101357692641555
2020-07-19,1.215731032735983,1.0668478260869565,0.9593454321062619,1.1038283878031263
2020-07-20,1.2048430117479307,1.0638586956521738,0.9477713130082382,1.0950631147996552
2020-07-21,1.2302338016453982,1.0653683574879227,0.9360212589070643,1.0987481560428092
2020-07-22,1.213254492637609,1.0669283413848631,0.959222636920399,1.1033078907155933
2020-07-23,1.2166628622174416,1.036634460547504,0.9613137482434894,1.0947005212941634
2020-07-24,1.1612846739065854,1.0216384863123995,0.9626082457292119,1.0733042752754973
2020-07-25,1.1870944743762528,1.0508856682769725,0.9579944968896565,1.0897830625687843
2020-07-26,1.1870944743762528,1.0508856682769725,0.9389619866204639,1.082566143126876
2020-07-27,1.1584078849034243,1.0138385668276972,0.9492649639533026,1.0650841912581397
2020-07-28,1.1858624582162032,1.0216384863123995,0.953845493518167,1.0779429744265736
2020-07-29,1.1663815935534911,1.0145933977455717,0.9402034815532448,1.0644235632694543
2020-07-30,1.1887392472193645,1.0194243156199678,0.9628073991885537,1.0814441700452744
2020-07-31,1.2031231922351713,1.0040760869565217,0.9424937463356771,1.0727731623508479
2020-08-01,1.2031231922351713,1.0147141706924316,0.9515450525405,1.0799959544014834
2020-08-02,1.2031231922351713,1.0147141706924316,0.9638043225080049,1.0846340118896607
2020-08-03,1.3290765194605394,0.9961755233494365,0.9292500412894387,1.1029161861280234
